,id,name,artists,acousticness,liveness,instrumentalness,energy,danceability,valence
459,7khpPruHJK39VTBUQ5WxUE,Stranger,MildOrange,0.412,0.109,0.113,0.491,0.334,0.452
27,3tXmhimGAseS9JI2de0iF8,L'uomo dell'armonica,Ennio Morricone,0.754,0.0907,0.44,0.362,0.101,0.0387
